City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Adrar,MR,2020-10-11 23:36:43,20.5,-10.07,89.2,33,53,19.39
138,Hun,LY,2020-10-11 23:43:34,29.13,15.95,75.69,34,70,10.8
139,Haines Junction,CA,2020-10-11 23:30:40,60.75,-137.51,39.63,83,100,1.12
140,Mahebourg,MU,2020-10-11 23:35:04,-20.41,57.7,73.4,83,75,6.93
141,Avarua,CK,2020-10-11 23:35:09,-21.21,-159.78,77.0,78,27,4.7
142,Hovd,MN,2020-10-11 23:41:39,48.01,91.64,30.47,83,93,1.66
143,Kutum,SD,2020-10-11 23:36:17,14.2,24.67,78.21,42,50,3.0
144,San Cristobal,VE,2020-10-11 23:35:12,7.77,-72.22,86.0,62,40,4.7
145,Biak,ID,2020-10-11 23:35:56,-0.91,122.88,80.2,69,100,8.19
146,Terme,TR,2020-10-11 23:43:34,41.21,36.97,62.6,93,75,2.24
147,Tuatapere,NZ,2020-10-11 23:35:17,-46.13,167.68,52.0,84,100,1.99
148,Bambous Virieux,MU,2020-10-11 23:35:20,-20.34,57.76,73.4,83,75,6.93
149,Ribeira Grande,PT,2020-10-11 23:35:22,38.52,-28.7,67.51,70,14,11.97
150,Richards Bay,ZA,2020-10-11 23:35:38,-28.78,32.04,60.85,79,100,5.5
151,Kodiak,US,2020-10-11 23:35:07,57.79,-152.41,42.8,75,90,5.82
152,Bad Soden-Salmunster,DE,2020-10-11 23:43:35,50.28,9.37,46.99,86,13,2.26
153,Qaanaaq,GL,2020-10-11 23:35:01,77.48,-69.36,32.18,85,92,9.06
154,Cuenca,EC,2020-10-11 23:37:16,-2.88,-78.98,62.6,51,40,6.93
155,Boyabat,TR,2020-10-11 23:43:35,41.47,34.77,58.17,84,30,0.98
156,Praia Da Vitoria,PT,2020-10-11 23:35:26,38.73,-27.07,68.0,77,20,17.16
157,Puerto Gaitan,CO,2020-10-11 23:43:36,4.31,-72.08,80.55,73,70,1.68
158,Champerico,GT,2020-10-11 23:36:10,14.3,-91.92,87.8,74,20,6.93
159,Eyl,SO,2020-10-11 23:35:59,7.98,49.82,78.57,84,23,5.88
160,Severo-Kurilsk,RU,2020-10-11 23:35:42,50.68,156.12,48.25,67,0,2.75
161,Tigil,RU,2020-10-11 23:35:35,57.8,158.67,39.36,70,0,5.3
162,New Norfolk,AU,2020-10-11 23:35:09,-42.78,147.06,57.99,50,72,3.0
163,Elmadag,TR,2020-10-11 23:43:37,39.92,33.23,61.0,71,1,2.51
164,Broome,US,2020-10-11 23:33:08,42.25,-75.83,55.4,58,90,5.82
165,Harboore,DK,2020-10-11 23:32:18,56.62,8.18,46.0,28,0,12.53
166,Sokoto,NG,2020-10-11 23:43:37,13.06,5.24,82.65,53,0,9.13
167,Port Macquarie,AU,2020-10-11 23:41:37,-31.43,152.92,78.01,50,7,1.99
168,Aitape,PG,2020-10-11 23:43:38,-3.14,142.35,85.98,64,51,5.32
169,Jurm,AF,2020-10-11 23:40:09,36.86,70.83,45.88,66,99,3.04
170,Yaan,NG,2020-10-11 23:43:38,7.38,8.57,72.9,94,24,5.06
171,Burns Lake,CA,2020-10-11 23:43:38,54.23,-125.75,46.17,57,38,2.8
172,Klaksvik,FO,2020-10-11 23:35:37,62.23,-6.59,44.6,100,100,10.29
173,Machinga,MW,2020-10-11 23:43:38,-15.17,35.3,68.14,86,81,3.42
174,Bathsheba,BB,2020-10-11 23:35:02,13.22,-59.52,82.4,78,40,10.29
175,Rafaela,AR,2020-10-11 23:43:39,-31.25,-61.49,66.0,28,0,1.99
176,Lebu,CL,2020-10-11 23:35:35,-37.62,-73.65,51.87,65,0,20.69
177,Derzhavinsk,KZ,2020-10-11 23:41:11,51.1,66.32,46.4,60,89,6.73
178,Tiksi,RU,2020-10-11 23:35:13,71.69,128.87,10.94,94,42,8.34
179,Namatanai,PG,2020-10-11 23:40:35,-3.67,152.43,85.24,66,26,2.48
180,Okhotsk,RU,2020-10-11 23:35:37,59.38,143.3,44.44,86,100,32.93
181,Cayenne,GF,2020-10-11 23:36:14,4.93,-52.33,78.8,83,33,1.12
182,Blythe,US,2020-10-11 23:43:39,33.61,-114.6,95.0,14,1,5.82
183,Arlit,NE,2020-10-11 23:41:19,18.74,7.39,89.4,14,41,10.31
184,Puerto Varas,CL,2020-10-11 23:43:40,-41.32,-72.99,51.8,66,0,6.93
185,Padang,ID,2020-10-11 23:36:25,-0.95,100.35,78.51,75,100,3.6
186,Pochutla,MX,2020-10-11 23:37:02,15.74,-96.47,84.2,70,40,8.05
187,Alofi,NU,2020-10-11 23:34:58,-19.06,-169.92,78.8,78,75,25.28
188,Ocampo,MX,2020-10-11 23:43:40,21.65,-101.5,67.55,30,100,8.16
189,Yazd,IR,2020-10-11 23:43:40,31.9,54.37,51.8,21,0,4.7
190,Matagalpa,NI,2020-10-11 23:43:40,12.93,-85.92,77.0,57,40,4.7
191,Diffa,NE,2020-10-11 23:43:41,13.32,12.61,87.26,15,0,8.61
192,Sibu,MY,2020-10-11 23:43:41,2.3,111.82,73.4,100,40,4.7
193,Mutuipe,BR,2020-10-11 23:43:41,-13.23,-39.5,73.74,89,51,7.16
194,Itaqui,BR,2020-10-11 23:43:41,-29.13,-56.55,67.37,68,0,6.67
195,Clyde River,CA,2020-10-11 23:35:16,70.47,-68.59,30.2,100,90,1.23
196,Shiyan,CN,2020-10-11 23:43:41,32.65,110.78,62.04,83,98,1.34
197,Hirara,JP,2020-10-11 23:41:20,24.8,125.28,77.0,100,75,4.7
198,Linjiang,CN,2020-10-11 23:35:42,41.81,126.91,45.5,68,56,1.3
199,Ambunti,PG,2020-10-11 23:43:42,-4.24,142.84,86.31,69,99,1.95
200,Lubango,AO,2020-10-11 23:43:42,-14.92,13.49,60.53,39,9,3.49
201,Pando,UY,2020-10-11 23:43:42,-34.72,-55.95,60.01,76,20,6.93
202,Grindavik,IS,2020-10-11 23:35:17,63.84,-22.43,42.8,100,90,6.93
203,Chama,CH,2020-10-11 23:43:42,47.18,8.46,44.6,87,90,2.24
204,Putyatino,RU,2020-10-11 23:43:42,54.16,41.12,52.68,44,100,9.55
205,Sioux Lookout,CA,2020-10-11 23:36:13,50.1,-91.92,57.2,50,90,11.41
206,Mbeya,TZ,2020-10-11 23:43:43,-8.9,33.45,61.65,65,62,4.79
207,Kununurra,AU,2020-10-11 23:35:31,-15.77,128.73,86.0,22,0,8.05
