City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Te Anau,NZ,2020-10-07 02:16:03,-45.42,167.72,51.85,58,42,4.43
93,Belyy Yar,RU,2020-10-07 02:18:44,53.6,91.39,33.8,59,100,13.42
94,Micheweni,TZ,2020-10-07 02:18:45,-4.97,39.83,77.79,79,81,7.99
95,Port Alfred,ZA,2020-10-07 02:18:45,-33.59,26.89,60.64,91,13,1.88
96,Harper,LR,2020-10-07 02:18:45,4.38,-7.72,77.13,87,96,9.89
97,Bethel,US,2020-10-07 02:18:45,41.37,-73.41,57.2,71,1,6.93
98,Ankara,TR,2020-10-07 02:14:41,39.92,32.85,66.99,58,0,1.95
99,Gorontalo,ID,2020-10-07 02:18:45,0.54,123.06,78.85,82,100,2.04
100,Norman Wells,CA,2020-10-07 02:18:45,65.28,-126.83,39.2,75,90,8.05
101,Mae Sai,TH,2020-10-07 02:18:45,20.43,99.88,82.0,100,75,2.24
102,Airai,TL,2020-10-07 02:15:17,-8.93,125.41,75.45,65,50,3.06
103,Coihaique,CL,2020-10-07 02:18:46,-45.58,-72.07,39.2,86,20,9.17
104,Vostok,RU,2020-10-07 02:16:23,46.49,135.88,40.1,92,99,4.23
105,Tuy Hoa,VN,2020-10-07 02:18:46,13.08,109.3,80.69,88,100,14.12
106,Fez,MA,2020-10-07 02:18:46,34.04,-5.0,57.2,62,9,8.05
107,Chokurdakh,RU,2020-10-07 02:18:46,70.63,147.92,29.53,98,100,13.62
108,Yaan,NG,2020-10-07 02:18:47,7.38,8.57,69.62,96,100,3.09
109,Sira,IN,2020-10-07 02:18:47,13.75,76.91,73.38,83,35,5.82
110,Castro,BR,2020-10-07 02:18:47,-24.79,-50.01,70.72,43,1,3.91
111,Barra Do Corda,BR,2020-10-07 02:18:47,-5.5,-45.25,83.71,38,99,4.92
112,Alvdal,NO,2020-10-07 02:18:47,62.11,10.63,44.6,93,100,1.12
113,Kodiak,US,2020-10-07 02:18:47,57.79,-152.41,55.4,50,40,9.17
114,Del Rio,US,2020-10-07 02:18:47,29.36,-100.9,84.2,35,1,5.82
115,Hilo,US,2020-10-07 02:18:47,19.73,-155.09,87.8,55,40,10.29
116,Charleston,US,2020-10-07 02:13:55,32.78,-79.93,70.0,94,20,5.82
117,Dolores,AR,2020-10-07 02:18:48,-36.31,-57.68,49.59,95,0,7.11
118,Evensk,RU,2020-10-07 02:18:48,61.95,159.23,43.56,58,0,13.91
119,Khatanga,RU,2020-10-07 02:18:48,71.97,102.5,13.39,97,83,7.7
120,Touros,BR,2020-10-07 02:18:48,-5.2,-35.46,73.4,94,40,3.36
